utt_id,split,hf_index,text,duration,wer_subset,mos_subset,tone_validation_subset,baseline_tts_audio_path,asr_model_id,asr_backend,asr_transcript,asr_error,reference_norm,asr_norm,wer,cer
dev_0010,test,10,mo agyanom nyankopɔn asoma me mo nkyɛn na wɔbisa me sɛ ne din de dɛn a,5.559999942779541,True,True,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0010.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,mmoa gyina ne nsa kɔn asomma amemkyɛ na obi sa mese na didi deɛ yɛ.,,mo agyanom nyankopɔn asoma me mo nkyɛn na wɔbisa me sɛ ne din de dɛn a,mmoa gyina ne nsa kɔn asomma amemkyɛ na obi sa mese na didi deɛ yɛ,0.9375,0.45714285714285713
dev_0011,test,11,nnyɛ mframo a ɛnkyɛ koraa na ɛdum aware nso sɛ obuo nnim a ɛnkyɛ na ɔdɔ,6.659999847412109,True,True,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0011.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,enya mframa nkyɛkora na edum awɔrenso sɛ wobu ne mu a nkyɛn a ɔdɔ.,,nnyɛ mframo a ɛnkyɛ koraa na ɛdum aware nso sɛ obuo nnim a ɛnkyɛ na ɔdɔ,enya mframa nkyɛkora na edum awɔrenso sɛ wobu ne mu a nkyɛn a ɔdɔ,0.8125,0.2535211267605634
dev_0012,test,12,yen ani gu so yɛta hu yenuanom kristofo na ɔkyenmu no ebia yɛbɛhu wɔn mpen pii,6.5,True,True,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0012.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,"yɛani bosɔ yɛtena ho yɛ ne nom, christoforo na ɔkye mu no ebi yɛ bi ho wɔn mpempe yi.",,yen ani gu so yɛta hu yenuanom kristofo na ɔkyenmu no ebia yɛbɛhu wɔn mpen pii,yɛani bosɔ yɛtena ho yɛ ne nom christoforo na ɔkye mu no ebi yɛ bi ho wɔn mpempe yi,1.0,0.3717948717948718
dev_0013,test,13,na ɛma asɛm too wɔn sɛ yɛhwɛ nea ɛtoo wɔn no a yɛtumi sua biribi firi,5.052000045776367,True,True,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0013.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,ɛmaa asɛm too wɔn sɛn hwene ɛto wɔn no ho a yɛtumi si abibifo yi.,,na ɛma asɛm too wɔn sɛ yɛhwɛ nea ɛtoo wɔn no a yɛtumi sua biribi firi,ɛmaa asɛm too wɔn sɛn hwene ɛto wɔn no ho a yɛtumi si abibifo yi,0.625,0.3333333333333333
dev_0014,test,14,me kã nneduafoɔ mmarima bɛboro ahanu bi ho na awɛmfoɔ a wɔwɔ hɔ no ɛmfaho yɛn,5.519999980926514,True,True,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0014.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,mberikyiniiɛfoɔ mmarima bebree wɔ asene bi ho na awerɛnfoɔ wɔ hɔ no fa hwen.,,me k nneduafoɔ mmarima bɛboro ahanu bi ho na awɛmfoɔ a wɔwɔ hɔ no ɛmfaho yɛn,mberikyiniiɛfoɔ mmarima bebree wɔ asene bi ho na awerɛnfoɔ wɔ hɔ no fa hwen,0.6875,0.4342105263157895
dev_0015,test,15,nson nkyekyɛm aduonu nnan asɛm no esi,4.081999778747559,True,True,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0015.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,nsuantwitwa mu aduruw no n'asɛm si.,,nson nkyekyɛm aduonu nnan asɛm no esi,nsuantwitwa mu aduruw no n'asɛm si,1.0,0.5675675675675675
dev_0016,test,16,yi ho wɔyɛ nyane ma nkurɔfoɔ a wɔnnim bible mu paa anaa wɔnnim koraa ebia wɔnnim,7.860000133514404,True,True,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0016.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,nhu wɔyɛ nyane. mankorfo a wɔnim bibire mu pa ara na wɔn anim kura abia wɔnim.,,yi ho wɔyɛ nyane ma nkurɔfoɔ a wɔnnim bible mu paa anaa wɔnnim koraa ebia wɔnnim,nhu wɔyɛ nyane mankorfo a wɔnim bibire mu pa ara na wɔn anim kura abia wɔnim,0.875,0.2625
dev_0017,test,17,na monhyɛ mma asanso wobɛtumi akɔboa ma mo asiesie hɔ sɛ wo tebea ma wo kwan,6.0,True,True,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0017.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,nnam nsamu a asa so. obi te ne akɔbowa no ma wɔasiesie hɔ sɛe. wɔte bea ma wɔkwa no.,,na monhyɛ mma asanso wobɛtumi akɔboa ma mo asiesie hɔ sɛ wo tebea ma wo kwan,nnam nsamu a asa so obi te ne akɔbowa no ma wɔasiesie hɔ sɛe wɔte bea ma wɔkwa no,1.0625,0.40789473684210525
dev_0018,test,18,ne onuawa apostolides suku ho no mu hwɛ kwan sɛ wobɛhyia ɔhaw wɔ asetenamu nea abraham,7.980000019073486,True,True,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0018.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,nnuonwa wɔ aposo yɛde sukuhu no mu. hyɛ kwan sɛ obi nso ayɛ hɔ wɔ asetene mu nyinaa abere ha mu.,,ne onuawa apostolides suku ho no mu hwɛ kwan sɛ wobɛhyia ɔhaw wɔ asetenamu nea abraham,nnuonwa wɔ aposo yɛde sukuhu no mu hyɛ kwan sɛ obi nso ayɛ hɔ wɔ asetene mu nyinaa abere ha mu,1.0,0.4186046511627907
dev_0019,test,19,ɔba a ɔyerae no sankɔɔ fie no nagya no de anigye gyee no bio enti sɛ,5.900000095367432,True,True,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0019.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,ɔbaa a ɔyɛ rano san kɔ fie no ne gya no de anigyeɛ nso bi te sɛ .,,ɔba a ɔyerae no sankɔɔ fie no nagya no de anigye gyee no bio enti sɛ,ɔbaa a ɔyɛ rano san kɔ fie no ne gya no de anigyeɛ nso bi te sɛ,0.75,0.27941176470588236
dev_0020,test,20,sɛ wɔbɛtumi akɔhyɛ mmara ahyɛde de ɔhaw aba na wɔama yudafo no agyae asɔrefie no sie,5.21999979019165,True,False,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0020.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,sɔɔbɛkye mu akɔhyɛ mmerɛ ahwɛ dade wɔ hɔ aba na wama yu dɛfo no agye asɔrefie ne si.,,sɛ wɔbɛtumi akɔhyɛ mmara ahyɛde de ɔhaw aba na wɔama yudafo no agyae asɔrefie no sie,sɔɔbɛkye mu akɔhyɛ mmerɛ ahwɛ dade wɔ hɔ aba na wama yu dɛfo no agye asɔrefie ne si,0.8125,0.2857142857142857
dev_0021,test,22,asɛm na wɔde kyerɛw nsɛm kyerɛɛ ne nti a na saa nneɛma kɛse no sisii ɔhyɛ,5.559999942779541,True,False,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0021.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,asɛm no wɔde kyir hɔ. nsɛmkyerɛ ne nti anaa nsa na yɛma kɛse sisi ɔhyɛ.,,asɛm na wɔde kyerɛw nsɛm kyerɛɛ ne nti a na saa nneɛma kɛse no sisii ɔhyɛ,asɛm no wɔde kyir hɔ nsɛmkyerɛ ne nti anaa nsa na yɛma kɛse sisi ɔhyɛ,0.625,0.2465753424657534
dev_0022,test,23,nkron ne aduasa baako onyankopɔn bɛtumi ama yɛn tumi a ɛboro nnipa deɛ so na yɛde,6.380000114440918,True,False,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0022.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,nkron bi yɛ saa baako wɔ n'ankuopɔn bɛtwene ama yɛntua na ebroni paadie so ayɛ di.,,nkron ne aduasa baako onyankopɔn bɛtumi ama yɛn tumi a ɛboro nnipa deɛ so na yɛde,nkron bi yɛ saa baako wɔ n'ankuopɔn bɛtwene ama yɛntua na ebroni paadie so ayɛ di,0.875,0.3950617283950617
dev_0023,test,24,sen saa no ayamyɛ a ɛte saa no yɛ onyankopɔn honhom kronkron aba no fa a,4.400000095367432,True,False,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0023.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,asensɛn no ayɛ mua te sɛn no yɛ wɔn akɔpɔ ho nkronkron baanofa.,,sen saa no ayamyɛ a ɛte saa no yɛ onyankopɔn honhom kronkron aba no fa a,asensɛn no ayɛ mua te sɛn no yɛ wɔn akɔpɔ ho nkronkron baanofa,0.8125,0.3888888888888889
dev_0024,test,25,de wɔn gu afiase sɛ nkurɔfo yɛ saa a ɛnyɛ anwanwa efisɛ yesu ka too hɔ,6.159999847412109,True,False,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0024.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,dɔm gu afie sɛsɛ nkurofo yɛ saa anya amona afie nso kɛtsew hɔ.,,de wɔn gu afiase sɛ nkurɔfo yɛ saa a ɛnyɛ anwanwa efisɛ yesu ka too hɔ,dɔm gu afie sɛsɛ nkurofo yɛ saa anya amona afie nso kɛtsew hɔ,0.75,0.38571428571428573
dev_0025,test,26,onipa baakofoɔ no setie bɛma nnipa bebree ayɛ teneneefoɔ enti ɛtɔ da a asafonomfoɔ bi bɛtumi,7.239999771118164,True,False,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0025.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,nnipa baakofoɔ no sɛte barima ne papa bebree ayɛ tsena ne mfonyo. nti atɔdaa asa famufoɔ bi bɛtumi.,,onipa baakofoɔ no setie bɛma nnipa bebree ayɛ teneneefoɔ enti ɛtɔ da a asafonomfoɔ bi bɛtumi,nnipa baakofoɔ no sɛte barima ne papa bebree ayɛ tsena ne mfonyo nti atɔdaa asa famufoɔ bi bɛtumi,0.75,0.29347826086956524
dev_0026,test,27,enti afe biara sɛ ɛdu da a owui no a yɛne nnipa ɔpepem pii wɔ wiase,5.677999973297119,True,False,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0026.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,nti afidie biara sɛ adu dɛ wɔwɔ no a yɛn nipa opira pii wɔ beaeɛ sɛ.,,enti afe biara sɛ ɛdu da a owui no a yɛne nnipa ɔpepem pii wɔ wiase,nti afidie biara sɛ adu dɛ wɔwɔ no a yɛn nipa opira pii wɔ beaeɛ sɛ,0.6875,0.3582089552238806
dev_0027,test,28,hɔ a ɔmfa no ho mmono emu baako pa ara ne owuo a na ɔbɛwu yayaaya,4.199999809265137,True,False,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0027.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,"wɔn afan no mu no, emu baako panneɛ wɔn ano na oburoni yareɛ.",,hɔ a ɔmfa no ho mmono emu baako pa ara ne owuo a na ɔbɛwu yayaaya,wɔn afan no mu no emu baako panneɛ wɔn ano na oburoni yareɛ,0.75,0.47692307692307695
dev_0028,test,29,ho nanso ne boɔ yɛ den enti obisa ne ho sɛ sɛ mede sika kɛse a,6.119999885559082,True,False,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0028.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,mohunanso ne boɔ yɛ den. nti obisa no ho sɛ saa mde si kaa kɛseɛ.,,ho nanso ne boɔ yɛ den enti obisa ne ho sɛ sɛ mede sika kɛse a,mohunanso ne boɔ yɛ den nti obisa no ho sɛ saa mde si kaa kɛseɛ,0.5625,0.1935483870967742
dev_0029,test,30,won no wosan fre won onyankopon israel galatifo nkyekyem nsia nkyekyem dunsia nipa edu no gyina,9.359999656677246,True,False,True,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0029.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,boano wɔsa fluo. ɔnyɛ nkɔpo gya dala te foforɔ kyikyim si enkyikyim do si anipa du ne gyina.,,won no wosan fre won onyankopon israel galatifo nkyekyem nsia nkyekyem dunsia nipa edu no gyina,boano wɔsa fluo ɔnyɛ nkɔpo gya dala te foforɔ kyikyim si enkyikyim do si anipa du ne gyina,1.0625,0.4421052631578947
dev_0030,test,31,anigyentrasoɔ akɔwensafofieku ne abosonsom a ɛyɛ abofon mu petro nwoma a ɛdi kan ti nan nkyekyɛmu,7.958000183105469,True,False,False,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0030.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,anigyeɛ ntorossoɔ akor nsahofifiri kuni aboso nsu mu ayɛ abofra mmo petro ma ɛdikara ne nan nkyekyɛm.,,anigyentrasoɔ akɔwensafofieku ne abosonsom a ɛyɛ abofon mu petro nwoma a ɛdi kan ti nan nkyekyɛmu,anigyeɛ ntorossoɔ akor nsahofifiri kuni aboso nsu mu ayɛ abofra mmo petro ma ɛdikara ne nan nkyekyɛm,0.9375,0.38144329896907214
dev_0031,test,32,ɔde tupa no kɔhyɛɛ ahenni asa so hɔ no ɔkyee no na wɔde no kɔtoo afiase,4.940000057220459,True,False,False,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0031.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,ɔde tiri pono kɔhyɛ ahene asa so wɔn ɔrekye no ɛwɔ de n'akaturu afie sɛ .,,ɔde tupa no kɔhyɛɛ ahenni asa so hɔ no ɔkyee no na wɔde no kɔtoo afiase,ɔde tiri pono kɔhyɛ ahene asa so wɔn ɔrekye no ɛwɔ de n'akaturu afie sɛ,0.75,0.38028169014084506
dev_0032,test,33,yi nekrakra no yɛbɛhwɛ sɛnea saa nsɛm yi fa yɛn ho yɛhunu wɔn a wɔyɛ onyankopɔn,9.0,True,False,False,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0032.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,"dinkra kwan no, bɛhwɛ sɛnea saa nsam yi fɛw yɛn ho, nhohu wɔn a wɔreyiyi n'ankopɔm.",,yi nekrakra no yɛbɛhwɛ sɛnea saa nsɛm yi fa yɛn ho yɛhunu wɔn a wɔyɛ onyankopɔn,dinkra kwan no bɛhwɛ sɛnea saa nsam yi fɛw yɛn ho nhohu wɔn a wɔreyiyi n'ankopɔm,0.5,0.2911392405063291
dev_0033,test,34,dunwɔtwe nkyekyɛmu nnan akyiri yi bible suafuo no de nsinia kɔka kyerɛɛ krataa a asase mmienu,7.639999866485596,True,False,False,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0033.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,dumapɛntsekyɛm na wɔn akyi yɛ beebree si hɔ de nsia. okura krataa asase mmienu.,,dunwɔtwe nkyekyɛmu nnan akyiri yi bible suafuo no de nsinia kɔka kyerɛɛ krataa a asase mmienu,dumapɛntsekyɛm na wɔn akyi yɛ beebree si hɔ de nsia okura krataa asase mmienu,0.75,0.44086021505376344
dev_0034,test,35,asɛmmisa mfatoho bɛn na yesu de kyerɛɛ sɛ ɛnyɛ dako pɛ na obi bɛtumi de ayɛ,5.789000034332275,True,False,False,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0034.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,asɛm esan fɔtɔw bi na yɛsodze kyerɛ sɛ ndadakope no bi bɛtu nnua yi.,,asɛmmisa mfatoho bɛn na yesu de kyerɛɛ sɛ ɛnyɛ dako pɛ na obi bɛtumi de ayɛ,asɛm esan fɔtɔw bi na yɛsodze kyerɛ sɛ ndadakope no bi bɛtu nnua yi,0.9375,0.4
dev_0035,test,36,yɛ mu bebree wɔ hɔ a ensafua yɛwɔ mu no ɛsno sɛ obiara te ne sɛ,6.1479997634887695,True,False,False,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0035.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,wiemu bebree wɔ hɔ a yɛnsa firi awia mu no so se obiara akyene sɛ.,,yɛ mu bebree wɔ hɔ a ensafua yɛwɔ mu no ɛsno sɛ obiara te ne sɛ,wiemu bebree wɔ hɔ a yɛnsa firi awia mu no so se obiara akyene sɛ,0.5625,0.31746031746031744
dev_0036,test,37,a ɛbi a yɛadwene bɛyɛ yɛn sɛ yehowa ntie yɛn mpaebɔ mmarima ne mmaa nokwafoɔ a,5.840000152587891,True,False,False,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0036.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,ɛbea yɛadraba yɛyɛnse. ewɔn tiri yie mpaebɔ mmarima ne ma no kaafoɔ.,,a ɛbi a yɛadwene bɛyɛ yɛn sɛ yehowa ntie yɛn mpaebɔ mmarima ne mmaa nokwafoɔ a,ɛbea yɛadraba yɛyɛnse ewɔn tiri yie mpaebɔ mmarima ne ma no kaafoɔ,0.8125,0.3717948717948718
dev_0037,test,38,ɛwom sɛ na me wɔ abusua de nanso afe apem ahankron aduɔson nwɔtwe mmiɛnsa mu no,4.664999961853027,True,False,False,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0037.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,dɔm sa n'ano wɔ abusua de na so afi atɛn. ahamkron aduoson na watwa mmiɛnsa mu no.,,ɛwom sɛ na me wɔ abusua de nanso afe apem ahankron aduɔson nwɔtwe mmiɛnsa mu no,dɔm sa n'ano wɔ abusua de na so afi atɛn ahamkron aduoson na watwa mmiɛnsa mu no,0.75,0.24050632911392406
dev_0038,test,39,no ɛboa yɛn mpaebɔ pa ara sɛ yɛnwereho anaa yɛyɛ ankonam a ɛhyɛ yɛn den na,6.71999979019165,True,False,False,/workspace/twi-tone-conditioned-vits/outputs/baseline_tts/dev_0038.wav,FarmerlineML/twi-asr-qwen2audio-merged,qwen2_audio,nnipa bi rebɔ bɔɔla so. ebi nso hyɛ kyɛ. ebi nso yɛ ahwehwɛniwa. ebi nso yɛ abibifo. ebi nso yɛ abibifo. ebi nso yɛ abibifo. ebi nso yɛ abibifo. ebi nso yɛ abibifo. ebi nso yɛ abibifo. ebi nso yɛ abibifo. ebi nso yɛ abibifo. ebi nso yɛ abibifo. ebi nso yɛ abibifo. ebi nso yɛ abibifo. ebi nso yɛ abibifo. ebi nso yɛ abibifo. ebi nso yɛ abibifo. ebi nso yɛ abibifo. ebi nso yɛ abibifo. ebi nso yɛ abibifo. ebi nso yɛ abibifo. ebi nso yɛ abibifo. ebi nso yɛ abibifo. ebi nso yɛ abibifo. ebi nso yɛ abibifo. ebi n,,no ɛboa yɛn mpaebɔ pa ara sɛ yɛnwereho anaa yɛyɛ ankonam a ɛhyɛ yɛn den na,nnipa bi rebɔ bɔɔla so ebi nso hyɛ kyɛ ebi nso yɛ ahwehwɛniwa ebi nso yɛ abibifo ebi nso yɛ abibifo ebi nso yɛ abibifo ebi nso yɛ abibifo ebi nso yɛ abibifo ebi nso yɛ abibifo ebi nso yɛ abibifo ebi nso yɛ abibifo ebi nso yɛ abibifo ebi nso yɛ abibifo ebi nso yɛ abibifo ebi nso yɛ abibifo ebi nso yɛ abibifo ebi nso yɛ abibifo ebi nso yɛ abibifo ebi nso yɛ abibifo ebi nso yɛ abibifo ebi nso yɛ abibifo ebi nso yɛ abibifo ebi nso yɛ abibifo ebi nso yɛ abibifo ebi nso yɛ abibifo ebi n,6.4375,5.72972972972973
