token,farmerline_count,phoneme_dataset_count,in_farmerline,in_phoneme_dataset,unicode_name,unicode_category
abɔfoɔ,4,6,True,True,,
"abɔfoɔ,",0,1,False,True,,
abɔfra,0,3,False,True,,
abɔnefo,1,0,True,False,,
abɔnefosɛm,0,1,False,True,,
abɔnefosɛm;,0,1,False,True,,
abɔnefoɔ,1,6,True,True,,
abɔnten,1,0,True,False,,
"abɔsoɔ,",0,2,False,True,,
abɛfa,0,1,False,True,,
abɛgugu,0,1,False,True,,
abɛhunu,0,1,False,True,,
abɛhyia,1,1,True,True,,
abɛkoto,0,1,False,True,,
abɛn,1,2,True,True,,
"abɛn,",0,1,False,True,,
abɛsie,0,1,False,True,,
abɛsisi,0,1,False,True,,
abɛsra,0,1,False,True,,
abɛsɛe,0,1,False,True,,
abɛwiee,1,0,True,False,,
abɛwieeɛ,1,0,True,False,,
abɛyɛ,4,0,True,False,,
ada,5,0,True,False,,
adaadaa,1,1,True,True,,
adaban,0,1,False,True,,
adaduonu,0,1,False,True,,
adaduosia,0,1,False,True,,
adagya,0,1,False,True,,
"adagya,",0,1,False,True,,
adagye,1,0,True,False,,
adaka,1,3,True,True,,
"adaka,",0,1,False,True,,
adam,2,1,True,True,,
adamfikyi,0,1,False,True,,
adamfo,5,0,True,False,,
adamfofa,1,0,True,False,,
adamoam,1,0,True,False,,
adan,1,0,True,False,,
"adan,",0,1,False,True,,
adane,1,1,True,True,,
adansefo,2,0,True,False,,
adansefoɔ,8,2,True,True,,
adanseɛ,1,2,True,True,,
adanseɛ.,0,1,False,True,,
adanseɛ:,0,1,False,True,,
adansie,2,0,True,False,,
adapɛn,0,3,False,True,,
adasamma,5,0,True,False,,
"adbeel,",0,1,False,True,,
ade,17,2,True,True,,
adebisa,0,1,False,True,,
adefoɔ,0,1,False,True,,
adehunu,0,1,False,True,,
adehunu.,0,1,False,True,,
adehyedie,0,1,False,True,,
adekodeɛ,0,1,False,True,,
adekyeeɛ,1,1,True,True,,
adekyeɛ,1,0,True,False,,
adekyɛde,1,0,True,False,,
adesoa,0,1,False,True,,
adesrɛ,1,1,True,True,,
adesrɛ.,0,1,False,True,,
adesua,14,0,True,False,,
adesuadeɛ,2,0,True,False,,
adesuaseɛm,2,0,True,False,,
adesuasɛm,3,0,True,False,,
"adewa,",0,1,False,True,,
adeɛ,17,23,True,True,,
"adeɛ,",0,2,False,True,,
adeɛ.,0,1,False,True,,
adi,24,13,True,True,,
"adi,",0,3,False,True,,
adia,1,0,True,False,,
adidi,1,0,True,False,,
adidibea,0,1,False,True,,
adidie,0,1,False,True,,
adidiiɛ,0,1,False,True,,
adidiiɛ;,0,1,False,True,,
adie,2,2,True,True,,
"adie,",0,2,False,True,,
adiesua,2,0,True,False,,
adiesuɛ,1,0,True,False,,
adihɔ,0,2,False,True,,
adikyere,1,0,True,False,,
adim,1,0,True,False,,
adisua,1,0,True,False,,
adisɛm,1,0,True,False,,
adiyifoɔ,0,8,False,True,,
adiyifoɔ?,0,1,False,True,,
adiyism,1,0,True,False,,
"adna,",0,1,False,True,,
adom,3,4,True,True,,
"adom,",0,1,False,True,,
adoram,0,1,False,True,,
"adu,",0,1,False,True,,
adu.,0,1,False,True,,
aduaba,0,2,False,True,,
aduabateɛberɛ,0,1,False,True,,
aduanan,6,3,True,True,,
"aduanan,",0,2,False,True,,
aduane,6,7,True,True,,
aduane.,0,1,False,True,,
aduane;,0,1,False,True,,
aduanna,1,0,True,False,,
aduannan,1,0,True,False,,
aduasa,14,3,True,True,,
aduasabaako,1,0,True,False,,
aduasanan,1,0,True,False,,
aduasia,1,0,True,False,,
aduasua,1,0,True,False,,
adubɔne,0,1,False,True,,
aduhwam,0,2,False,True,,
adum,0,2,False,True,,
aduo,1,0,True,False,,
aduokron,2,0,True,False,,
aduonan,2,0,True,False,,
aduonsia,2,0,True,False,,
aduonu,52,12,True,True,,
"aduonu,",0,1,False,True,,
aduonu.,0,1,False,True,,
aduonum,6,3,True,True,,
"aduonum,",0,2,False,True,,
aduonum.,0,1,False,True,,
aduonumbaako,1,0,True,False,,
aduonunum,0,1,False,True,,
aduosia,1,1,True,True,,
"aduosia,",0,3,False,True,,
aduosia.,0,3,False,True,,
aduowɔtwe,2,0,True,False,,
adura,0,1,False,True,,
aduro,2,0,True,False,,
aduru,1,2,True,True,,
aduɔkron,1,2,True,True,,
aduɔson,1,1,True,True,,
aduɔwɔtwe,0,1,False,True,,
adwa,0,3,False,True,,
"adwaa,",0,1,False,True,,
adwadie,0,1,False,True,,
adwadifoɔ,0,1,False,True,,
adwamammɔ,0,4,False,True,,
adwamammɔfoɔ,0,1,False,True,,
adwaman,0,1,False,True,,
adwammaa,0,3,False,True,,
adwane,0,1,False,True,,
"adwaneyɛ,",0,1,False,True,,
adwemmɔne,0,1,False,True,,
adwen,3,0,True,False,,
adwendwen,1,0,True,False,,
adwene,17,3,True,True,,
"adwene,",0,1,False,True,,
adwenem,1,0,True,False,,
adwenemu,1,0,True,False,,
adwenkyerɛ,1,0,True,False,,
adwennini,0,5,False,True,,
adwenywen,1,0,True,False,,
adwini,0,2,False,True,,
"adwini,",0,1,False,True,,
adwinneɛ,0,1,False,True,,
"adwinneɛ,",0,1,False,True,,
adwinnie,0,1,False,True,,
adwira,0,1,False,True,,
adwiri,0,1,False,True,,
adwo,1,0,True,False,,
adwo.,0,1,False,True,,
adwuma,54,9,True,True,,
"adwuma,",0,1,False,True,,
adwuma.,0,1,False,True,,
adwumayɛ,0,2,False,True,,
adwumayɛfoɔ,0,1,False,True,,
adwumayɛfoɔ;,0,1,False,True,,
adwumfoɔ,0,1,False,True,,
adɔ.,0,1,False,True,,
adɔdeɛ,0,1,False,True,,
adɔeɛ,0,1,False,True,,
adɔfo,1,0,True,False,,
"adɔfo,",0,1,False,True,,
adɔfoɔ,1,0,True,False,,
adɔkɔdɔkɔsɛm,0,1,False,True,,
"adɔna,",0,1,False,True,,
adɔre,0,1,False,True,,
"adɔɔso,",0,2,False,True,,
adɛn,23,7,True,True,,
adɛnti,1,0,True,False,,
adɛntia,1,0,True,False,,
afa,2,5,True,True,,
"afa,",0,1,False,True,,
afa.,0,1,False,True,,
afahyɛ,1,3,True,True,,
afam,0,1,False,True,,
afanan,0,1,False,True,,
afasuo,1,1,True,True,,
afasɔ,1,0,True,False,,
afe,21,14,True,True,,
afeha,2,0,True,False,,
afei,32,15,True,True,,
"afei,",0,2,False,True,,
afena,0,5,False,True,,
afesuo,1,0,True,False,,
afi,5,0,True,False,,
afiase,4,3,True,True,,
"afiase,",0,1,False,True,,
afideɛ,0,1,False,True,,
afidie,1,0,True,False,,
afie,1,1,True,True,,
afie!,0,1,False,True,,
afie.,0,2,False,True,,
afiease,1,0,True,False,,
afieboa,0,1,False,True,,
afifideɛ,1,0,True,False,,
afire,0,2,False,True,,
"afire,",0,1,False,True,,
afiri,11,34,True,True,,
afoforo,22,0,True,False,,
afoforɔ,8,0,True,False,,
afoforɔ.,0,1,False,True,,
afom,0,1,False,True,,
aforotebereɛ,0,2,False,True,,
afotuo,1,0,True,False,,
afra,1,0,True,False,,
afra.,0,1,False,True,,
afrafrafoɔ,0,1,False,True,,
africa,1,0,True,False,,
african,1,0,True,False,,
afrɛ,1,4,True,True,,
"afrɛ,",0,1,False,True,,
afunu;,0,1,False,True,,
afuo,0,2,False,True,,
afuom,0,2,False,True,,
afutu,1,0,True,False,,
afutuo,6,0,True,False,,
afutupa,1,0,True,False,,
afã,1,0,True,False,,
afɔdeɛ,1,30,True,True,,
"afɔdeɛ,",0,3,False,True,,
afɔdeɛ.,0,2,False,True,,
afɔdeɛ?,0,1,False,True,,
afɔrebukyia,0,7,False,True,,
afɔrebɔ,0,2,False,True,,
"afɔrebɔdeɛ,",0,1,False,True,,
afɔreɛ,3,0,True,False,,
afɛfɛdeɛ,0,3,False,True,,
"agag,",0,1,False,True,,
agagni,0,1,False,True,,
agenda,1,0,True,False,,
agokansie,1,0,True,False,,
agu,1,7,True,True,,
"agu,",0,1,False,True,,
agu;,0,1,False,True,,
aguo,1,0,True,False,,
agya,9,11,True,True,,
"agya,",0,3,False,True,,
agyaadwo,0,1,False,True,,
agyae,1,0,True,False,,
"agyaeɛ,",0,1,False,True,,
agyanom,1,6,True,True,,
agyapadeɛ,1,4,True,True,,
agyapadeɛ.,0,1,False,True,,
agyapadeɛ?,0,1,False,True,,
agyapayin,1,0,True,False,,
"agyataburuwa,",0,1,False,True,,
agye,8,1,True,True,,
agyede,1,0,True,False,,
agyedeɛ,5,0,True,False,,
agyedie,1,0,True,False,,
agyina,5,2,True,True,,
agyinaeɛ,0,1,False,True,,
agyinatuo,0,1,False,True,,
agyiraeɛ,0,1,False,True,,
ahab,0,1,False,True,,
ahahammonoboɔ,0,1,False,True,,
ahahan,0,1,False,True,,
ahanan.,0,2,False,True,,
"ahanehane,",0,1,False,True,,
ahankron,8,0,True,False,,
ahannwɔtwe,2,0,True,False,,
ahansia,0,1,False,True,,
ahansia.,0,1,False,True,,
ahanson.,0,1,False,True,,
ahantan,0,1,False,True,,
"ahantan,",0,1,False,True,,
ahanu,1,2,True,True,,
ahanum,0,2,False,True,,
ahas,0,3,False,True,,
ahasa,0,4,False,True,,
ahasia,0,2,False,True,,
ahayɛdeɛ,0,1,False,True,,
"ahemfie,",0,1,False,True,,
ahemfie.,0,1,False,True,,
ahemfo,0,16,False,True,,
"ahemfo,",0,1,False,True,,
ahene,0,1,False,True,,
aheneasa,1,0,True,False,,
ahenenom,1,0,True,False,,
ahenfie,1,0,True,False,,
ahenkyɛn,1,0,True,False,,
ahenni,6,0,True,False,,
ahennie,5,9,True,True,,
"ahennie,",0,1,False,True,,
ahennwa,0,2,False,True,,
ahennywa,1,0,True,False,,
ahia,0,2,False,True,,
ahiafoɔ,0,1,False,True,,
"ahiafoɔ,",0,2,False,True,,
ahikam,0,1,False,True,,
"ahiman,",0,1,False,True,,
ahina,0,1,False,True,,
ahinanan,0,1,False,True,,
"ahinanan,",0,1,False,True,,
ahinkuro,1,0,True,False,,
ahinoam,0,1,False,True,,
ahitofel,0,1,False,True,,
ahiyie,0,1,False,True,,
ahoadwenne,1,0,True,False,,
ahoahoa,0,1,False,True,,
ahobammɔ,1,0,True,False,,
ahobrase,1,0,True,False,,
ahobraseɛ,1,0,True,False,,
ahobrasɛm,1,0,True,False,,
ahobrɛaseɛ,0,1,False,True,,
ahodeɛ,0,1,False,True,,
ahodoɔ,8,8,True,True,,
"ahodoɔ,",0,2,False,True,,
ahodoɔ;,0,1,False,True,,
ahodwan,0,2,False,True,,
ahodwira.,0,1,False,True,,
ahodwiri,0,1,False,True,,
"ahodwirideɛ,",0,1,False,True,,
ahodwirie,0,1,False,True,,
ahofadie,1,0,True,False,,
ahohia,0,3,False,True,,
ahohiahia,1,0,True,False,,
ahohiahiafoɔ,0,2,False,True,,
ahohoahoa,0,2,False,True,,
ahohora,1,1,True,True,,
ahohoyɛ,2,0,True,False,,
ahohwie,0,1,False,True,,
ahokum,0,1,False,True,,
ahokyere,1,0,True,False,,
ahokyerɛ,1,0,True,False,,
ahom,1,0,True,False,,
ahome,0,2,False,True,,
"ahomete,",0,1,False,True,,
ahonhom,0,1,False,True,,
ahonhommɔne,0,3,False,True,,
"ahonhommɔne,",0,1,False,True,,
ahoni,0,2,False,True,,
ahoni;,0,1,False,True,,
ahonim,0,3,False,True,,
ahonu,1,0,True,False,,
ahonyade,3,0,True,False,,
ahooden,1,0,True,False,,
ahoosiesie,1,0,True,False,,
ahopopoɔ,1,0,True,False,,
ahorow,8,0,True,False,,
ahosodie,1,0,True,False,,
ahosɛpɛ,0,1,False,True,,
ahosɛpɛ.,0,1,False,True,,
ahotefoɔ,0,4,False,True,,
ahotoso,4,0,True,False,,
ahotosoɔ,2,1,True,True,,
ahotɔsɔ,2,0,True,False,,
ahotɔsɔɔ,1,0,True,False,,
ahoyera,0,1,False,True,,
ahoyie,0,1,False,True,,
ahoɔden,2,4,True,True,,
"ahoɔden,",0,1,False,True,,
ahoɔdenfoɔ,0,1,False,True,,
ahoɔfɛ,1,1,True,True,,
ahoɔherɛ,0,1,False,True,,
ahoɔyɛ,1,0,True,False,,
ahua,0,1,False,True,,
ahudeɛ,0,1,False,True,,
ahuhudeɛ,0,1,False,True,,
ahuhudeɛ.,0,1,False,True,,
ahum,0,3,False,True,,
ahummɔborɔ,2,0,True,False,,
ahummɔbɔ,2,0,True,False,,
ahunta,0,1,False,True,,
ahuntasɛm,0,1,False,True,,
ahunu,0,1,False,True,,
ahunum,0,1,False,True,,
"ahurisidie,",0,1,False,True,,
ahurisie,0,3,False,True,,
ahurusi,1,0,True,False,,
ahusiɛ,1,0,True,False,,
ahwan.,0,1,False,True,,
ahwe,0,2,False,True,,
ahweaseɛ.,0,1,False,True,,
ahwehwɛ,3,0,True,False,,
"ahwehwɛboɔ,",0,1,False,True,,
ahwehwɛdeɛ,1,0,True,False,,
"ahwehwɛeɛ,",0,1,False,True,,
ahwene,0,1,False,True,,
ahwere,1,0,True,False,,
"ahwiesa,",0,1,False,True,,
ahwiesa.,0,2,False,True,,
ahwire,0,1,False,True,,
ahwɛ,1,2,True,True,,
ahwɛfoɔ,1,1,True,True,,
ahwɛsoɔ,1,0,True,False,,
ahy,1,0,True,False,,
ahye,0,1,False,True,,
ahyehyɛdeɛ,1,0,True,False,,
ahyia,0,3,False,True,,
"ahyia,",0,6,False,True,,
ahyiaeɛ,0,2,False,True,,
ahyiam,0,1,False,True,,
ahyɛ,9,11,True,True,,
ahyɛase,1,0,True,False,,
ahyɛaseɛ,0,1,False,True,,
ahyɛdeɛ,1,5,True,True,,
ahyɛhyɛ,1,0,True,False,,
ahyɛn,1,2,True,True,,
"ahɔhoyɛ,",0,1,False,True,,
ahɔhoɔ,1,6,True,True,,
aka,11,15,True,True,,
aka.,0,1,False,True,,
akade,1,0,True,False,,
akaia,0,1,False,True,,
akaiafoɔ,0,1,False,True,,
akan,1,0,True,False,,
akannifoɔ,1,0,True,False,,
akannifoɔ.,0,1,False,True,,
akanyan,1,0,True,False,,
akanyinsia,1,0,True,False,,
akapae,1,0,True,False,,
akarateboɔ,0,1,False,True,,
akas-weros,0,1,False,True,,
akasafoɔ,1,0,True,False,,
akasamu,2,0,True,False,,
akata,1,1,True,True,,
akatua,2,3,True,True,,
akatua.,0,2,False,True,,
akeka,0,1,False,True,,
akenkan,1,0,True,False,,
ako,1,1,True,True,,
akoa,2,2,True,True,,
akodeɛ,0,1,False,True,,
akodie,0,2,False,True,,
akofoɔ,0,1,False,True,,
akokoduro,2,0,True,False,,
akokoduru,3,0,True,False,,
akokoɔduo,1,0,True,False,,
akokoɔduro,1,0,True,False,,
akokɔ,0,1,False,True,,
akoma,1,11,True,True,,
"akoma,",0,1,False,True,,
akomato,1,0,True,False,,
akomatuo,0,1,False,True,,
akomatɔyam,1,0,True,False,,
akonnwa,0,1,False,True,,
akor,0,1,False,True,,
akora,1,2,True,True,,
akorabɔ,0,1,False,True,,
akoradeɛ,0,1,False,True,,
"akorɔma,",0,1,False,True,,
akosɛm,0,1,False,True,,
akotene,1,0,True,False,,
akra,0,1,False,True,,
akraman,0,1,False,True,,
akron,1,0,True,False,,
akronkronneɛ,0,2,False,True,,
aksa,0,1,False,True,,
aku,0,1,False,True,,
akuafoɔ,0,1,False,True,,
akuakuo,0,1,False,True,,
akuakuo.,0,1,False,True,,
akum,0,3,False,True,,
akumatɔyam,1,0,True,False,,
akunkum,0,1,False,True,,
akuro,0,1,False,True,,
akuturuku;,0,1,False,True,,
akwaa,4,1,True,True,,
akwaaba,2,0,True,False,,
akwammisa,1,0,True,False,,
akwampaedwuma,1,0,True,False,,
akwampaeɛ,1,0,True,False,,
akwan,2,1,True,True,,
"akwan,",0,1,False,True,,
akwanhyia,1,0,True,False,,
akwankyerɛ,6,0,True,False,,
"akwankyerɛ,",0,1,False,True,,
akwansideɛ,1,0,True,False,,
akwantufoɔ,1,0,True,False,,
akwantuo,0,1,False,True,,
akwantuofoɔ,1,0,True,False,,
akwatafoɔ,0,1,False,True,,
akyekye,2,0,True,False,,
akyekyɛ,1,0,True,False,,
akyere,1,0,True,False,,
akyerɛ,11,8,True,True,,
akyerɛ.,0,1,False,True,,
akyerɛkyerɛ,1,0,True,False,,
akyi,30,2,True,True,,
"akyi,",0,2,False,True,,
akyi.,0,2,False,True,,
akyi:,0,1,False,True,,
akyidifo,1,0,True,False,,
akyidini,1,0,True,False,,
akyinkyim,0,1,False,True,,
akyinnye,1,0,True,False,,
akyinnyegyefoɔ,0,1,False,True,,
akyire,0,4,False,True,,
"akyire,",0,1,False,True,,
akyire.,0,3,False,True,,
akyiri,5,15,True,True,,
akyirikyiri,1,5,True,True,,
akyiwadeyɛfoɔ,0,1,False,True,,
akyiwadeɛ,0,3,False,True,,
"akyiwadeɛ,",0,1,False,True,,
akyiwadeɛ.,0,1,False,True,,
akyiwadeɛ:,0,1,False,True,,
akyɛ,6,0,True,False,,
akyɛde,1,0,True,False,,
akyɛdeɛ,2,1,True,True,,
akɔ,10,10,True,True,,
akɔ.,0,1,False,True,,
akɔbɔ,0,2,False,True,,
akɔdi,1,1,True,True,,
akɔduru,0,1,False,True,,
akɔfa,2,1,True,True,,
akɔko,0,1,False,True,,
akɔkoaa,0,1,False,True,,
akɔkoraa,0,2,False,True,,
akɔkwa,1,0,True,False,,
akɔma,0,1,False,True,,
akɔmfoɔ,0,1,False,True,,
akɔmisa,1,0,True,False,,
akɔnnɔ,2,2,True,True,,
akɔntuo,1,0,True,False,,
akɔpanyinfoɔ,1,0,True,False,,
akɔsi,2,6,True,True,,
akɔsie,0,1,False,True,,
akɔsie?,0,1,False,True,,
akɔsiesie,1,0,True,False,,
akɔso,1,0,True,False,,
"akɔso,",0,1,False,True,,
akɔsua,1,0,True,False,,
akɔtena,0,1,False,True,,
akɔto,1,0,True,False,,
akɔtu,0,1,False,True,,
"akɔtɛ,",0,1,False,True,,
akɔyɛ,3,0,True,False,,
akɛse,1,0,True,False,,
akɛseɛ,1,4,True,True,,
ama,61,42,True,True,,
ama;,0,1,False,True,,
amaama.,0,1,False,True,,
amaba,1,0,True,False,,
"amamfo,",0,2,False,True,,
amamfrafoɔ,0,1,False,True,,
"amamfrafoɔ,",0,1,False,True,,
amammerɛ,1,0,True,False,,
amammuifoɔ,1,0,True,False,,
amampanyin,1,0,True,False,,
amamra,1,0,True,False,,
aman,4,3,True,True,,
"aman,",0,1,False,True,,
aman.,0,1,False,True,,
amanaman,1,20,True,True,,
amane,1,0,True,False,,
amane.,0,1,False,True,,
amanebɔ,1,0,True,False,,
amanehunu,2,3,True,True,,
amanehunu.,0,1,False,True,,
amaneɛ,0,1,False,True,,
amanman,1,0,True,False,,
amanneɛ,1,1,True,True,,
amannɔne,1,0,True,False,,
amansan,1,0,True,False,,
amansin,2,0,True,False,,
amansini,1,0,True,False,,
amantam,2,0,True,False,,
amanyɔfoɔ,1,0,True,False,,
amanyɔsɛm,1,0,True,False,,
amanɔne,1,0,True,False,,
amapa,0,2,False,True,,
amaria,0,1,False,True,,
amasa,0,1,False,True,,
amasia,0,1,False,True,,
amee,0,1,False,True,,
"amen,",0,1,False,True,,
amena,0,2,False,True,,
american,1,0,True,False,,
amfa,1,3,True,True,,
amfasoɔ,1,0,True,False,,
amfi,1,0,True,False,,
amfiri,0,2,False,True,,
amforo,0,1,False,True,,
aminadab,0,1,False,True,,
amma,0,4,False,True,,
ammasan,1,0,True,False,,
ammɔ,1,0,True,False,,
amon,0,2,False,True,,
amonfoɔ,0,3,False,True,,
"amonfoɔ,",0,3,False,True,,
amonni,0,1,False,True,,
amos,0,2,False,True,,
ampa,3,4,True,True,,
"ampa,",0,1,False,True,,
amplia.,0,1,False,True,,
ampore,0,1,False,True,,
amradobun,1,0,True,False,,
amumuyɛ,0,4,False,True,,
amumuyɛdeɛ,0,1,False,True,,
amuna,0,1,False,True,,
amɛhyɛ,0,1,False,True,,
an,1,0,True,False,,
anaa,61,19,True,True,,
anaa!,0,1,False,True,,
anaa.,0,1,False,True,,
anaa?,0,16,False,True,,
anaasɛ,6,11,True,True,,
anadaa,1,0,True,False,,
anadwo,3,4,True,True,,
"anadwo,",0,2,False,True,,
"anadwo-akorɔma,",0,1,False,True,,
anadwo;,0,1,False,True,,
anafoɔ,0,4,False,True,,
anak,0,2,False,True,,
anakfoɔ,0,1,False,True,,
anammɔn,2,1,True,True,,
anamɔn,2,0,True,False,,
ananafoɔ,0,1,False,True,,
anania,1,0,True,False,,
anania!,0,1,False,True,,
"ananmu,",0,2,False,True,,
ananmu.,0,2,False,True,,
ananmu;,0,1,False,True,,
anante,1,0,True,False,,
anantefoɔ,0,1,False,True,,
anantwie,0,4,False,True,,
anantwinini,0,4,False,True,,
"anantwinini,",0,1,False,True,,
anatot,0,1,False,True,,
and,2,0,True,False,,
andrea,0,1,False,True,,
anene,0,1,False,True,,
"anene,",0,1,False,True,,
anha,0,1,False,True,,
anhia,0,1,False,True,,
anhunu,0,1,False,True,,
"anhunu,",0,1,False,True,,
anhwɛ.,0,1,False,True,,
anhyia,0,1,False,True,,
anhyira,0,1,False,True,,
anhyɛ,0,3,False,True,,
ani,25,24,True,True,,
"ani,",0,3,False,True,,
ani.,0,1,False,True,,
anibere,2,0,True,False,,
anibereɛ,0,3,False,True,,
anidaso,1,0,True,False,,
anidasoɔ,2,5,True,True,,
anidasoɔ.,0,1,False,True,,
anidie,0,1,False,True,,
anigye,9,0,True,False,,
anigyesɛm,1,0,True,False,,
anigyeɛ,2,5,True,True,,
anigyina,0,1,False,True,,
anika,0,1,False,True,,
anim,13,13,True,True,,
"anim,",0,15,False,True,,
anim.,0,6,False,True,,
anim;,0,1,False,True,,
anim?,0,2,False,True,,
animasem,1,0,True,False,,
animdefoɔ,0,1,False,True,,
animkata,0,1,False,True,,
animnsɛm,1,0,True,False,,
animtia,0,1,False,True,,
animtia.,0,1,False,True,,
animtiaa,1,0,True,False,,
animuonyam,2,7,True,True,,
"animuonyam,",0,2,False,True,,
animuonyam.,0,2,False,True,,
anini,0,2,False,True,,
aniso,1,0,True,False,,
anisoadehu,1,0,True,False,,
anisoadehunu,0,2,False,True,,
anisoadi,1,0,True,False,,
anisɔ,5,1,True,True,,
aniteɛ,0,1,False,True,,
aniwa,0,3,False,True,,
"aniwudeɛ,",0,1,False,True,,
anka,8,6,True,True,,
anka.,0,1,False,True,,
ankae,1,0,True,False,,
ankaediɛ,1,0,True,False,,
ankasa,5,1,True,True,,
ankorankora,1,0,True,False,,
ankyɛ,4,0,True,False,,
ankɔ,2,0,True,False,,
ankɔbeahene,0,1,False,True,,
ankɔnamyɛ,1,0,True,False,,
ankɔto,0,1,False,True,,
annane,0,2,False,True,,
anni,1,0,True,False,,
"annie,",0,1,False,True,,
annye,0,1,False,True,,
"annye,",0,1,False,True,,
ano,12,27,True,True,,
"ano,",0,12,False,True,,
ano.,0,5,False,True,,
ano?,0,2,False,True,,
anoanoano,1,0,True,False,,
anobuo,0,1,False,True,,
"anokwa,",0,1,False,True,,
anokwafo,3,0,True,False,,
anokwafoɔ,1,0,True,False,,
anom.,0,1,False,True,,
anomu,0,2,False,True,,
anomu.,0,1,False,True,,
anonneɛ,0,1,False,True,,
ansa,13,4,True,True,,
"ansa,",0,2,False,True,,
ansee,1,0,True,False,,
ansi,1,0,True,False,,
ansom,2,0,True,False,,
answers,1,0,True,False,,
ansɔ,0,1,False,True,,
ansɔre,1,0,True,False,,
ansɛ,1,0,True,False,,
ansɛe,1,1,True,True,,
ante,0,1,False,True,,
antiokia,1,0,True,False,,
anuanom,13,3,True,True,,
"anuanom,",0,3,False,True,,
anum,3,0,True,False,,
anuonyam,2,0,True,False,,
anwanwadeɛ,0,2,False,True,,
anwanwadie,1,0,True,False,,
anwea,0,1,False,True,,
"anwea,",0,1,False,True,,
anwiinwii,0,1,False,True,,
anwo,1,0,True,False,,
"anwu,",0,1,False,True,,
anwummere,1,0,True,False,,
anwummerɛ,0,1,False,True,,
"anwummerɛ,",0,1,False,True,,
anwummerɛ.,0,1,False,True,,
anwummerɛ;,0,1,False,True,,
anya,10,5,True,True,,
"anya,",0,1,False,True,,
anyansafoɔ,1,1,True,True,,
anye,1,0,True,False,,
anyinam,0,2,False,True,,
anyinsɛn,0,1,False,True,,
anyɛ,5,5,True,True,,
anyɛntumi,1,0,True,False,,
anɔpa,0,2,False,True,,
"anɔpa,",0,2,False,True,,
anɔpahema,0,1,False,True,,
anɔpahema.,0,1,False,True,,
anɔpatutu,0,2,False,True,,
anɔpatutututu,1,0,True,False,,
"ao,",0,1,False,True,,
apae,0,1,False,True,,
apaeɛ.,0,1,False,True,,
apakye.,0,1,False,True,,
apakye;,0,1,False,True,,
apam,2,4,True,True,,
apam.,0,1,False,True,,
apam:,0,1,False,True,,
apan.,0,1,False,True,,
apapafoɔ,1,0,True,False,,
