token,count
akwankyerɛ,6
ɔnyɛ,6
anaasɛ,6
afutuo,6
nadwene,6
yɛbɛsua,6
bɔhyɛ,6
adasamma,5
fam,5
adamfo,5
frɛ,5
reyɛ,5
asomafo,5
israelfoɔ,5
afi,5
honam,5
ankasa,5
ahennie,5
ɛfiri,5
agyina,5
yɛsusu,5
hokwan,5
wɔfrɛ,5
nam,5
nhyehyɛeɛ,5
ɔbɛtumi,5
ɔhwɛ,5
maame,5
nua,5
metumi,5
asem,5
ɔkyerɛkyerɛ,5
yɛgye,5
wani,5
anisɔ,5
bu,5
luka,5
agyedeɛ,5
krataa,5
yɛhyɛ,5
binom,5
kristoni,5
akyiri,5
nokwafoɔ,5
ɔsomafo,5
nokwasɛm,5
nna,5
anyɛ,5
ada,5
hwehwɛ,5
su,5
nani,5
reka,5
ɛda,5
ɛfa,5
ɔbɔɔ,5
fi,5
kã,5
kuro,5
ntam,5
asan,5
david,5
nim,5
nhyiam,5
kɔɔ,5
ohuu,5
fii,4
nie,4
ankyɛ,4
nhyira,4
woakɔ,4
ate,4
wayɛ,4
wom,4
nkoaa,4
yɛda,4
ɔkɔ,4
wosua,4
nhwehwɛmu,4
wohwɛ,4
asaase,4
solomon,4
yɛe,4
yɛmu,4
ɛnde,4
kase,4
tua,4
asa,4
wɔhyia,4
titiriw,4
yakobo,4
soronko,4
yɛanya,4
mose,4
mpɛn,4
awurade,4
nnoɔma,4
asuafo,4
asua,4
ɔhene,4
ɔbɔ,4
aman,4
timoteo,4
tia,4
ɔyɛɛ,4
ɛden,4
ɛto,4
video,4
mpanyimfoɔ,4
faa,4
tete,4
dawid,4
dodo,4
edu,4
ebinom,4
asie,4
wɔdi,4
abɛyɛ,4
ɛna,4
medɔ,4
ɛde,4
ehia,4
suaa,4
yɛhwɛ,4
won,4
onuawa,4
owuo,4
seesei,4
baeɛ,4
kwa,4
nokorɛ,4
kyi,4
mfa,4
enuanom,4
akwaa,4
nom,4
ko,4
yesaia,4
nhyehyɛe,4
mfe,4
wɔayɛ,4
ohu,4
yerusalem,4
ɛfata,4
ɛsono,4
nnwom,4
wɔasra,4
wonnim,4
kyerɛkyerɛ,4
ɛboaa,4
ahotoso,4
wɔhwɛ,4
yɛtumi,4
mmebusɛm,4
dunnwɔtwe,4
abɔfoɔ,4
twe,4
mpaeɛ,4
fo,4
yɛkae,4
yɛhunu,4
kunu,4
ɔmaa,4
dodoɔ,4
wɔbɔ,4
nnya,4
yɛbɛto,4
atom,4
bethel,4
afiase,4
awareɛ,4
wɔyɛɛ,4
o,4
kakyere,3
san,3
gyinaa,3
nidi,3
yɛbɛka,3
wɔato,3
anum,3
ɔkyerɛ,3
kuo,3
dunnum,3
dunnan,3
yɛbrɛ,3
ɛsii,3
efiri,3
hwayɛ,3
pɔtee,3
bɛyi,3
mfomsoɔ,3
mpa,3
yɛnyinaa,3
bre,3
sɔhwɛ,3
fɛ,3
nkakra,3
tesalonikafo,3
ampa,3
wopɛ,3
moyɛ,3
wɔatumi,3
sene,3
bɛkyɛ,3
wabɔ,3
n'asɛm,3
sukuu,3
mmra,3
awieeɛ,3
kyerɛkyerɛɛ,3
nkrɔfo,3
ofi,3
ɔbrɛ,3
ɔnim,3
edikan,3
daso,3
wɔahunu,3
mfasoɔ,3
bɛbɔ,3
nadwen,3
adwen,3
israel,3
brɛ,3
dwuma,3
yɛbɔ,3
twerɛsɛm,3
ahonyade,3
sa,3
ntɔ,3
nhu,3
nkorɔfo,3
akɔyɛ,3
wie,3
mfi,3
mfaso,3
ɛdɛn,3
adom,3
abrɛ,3
wobɛboa,3
sen,3
manya,3
ɛbɛba,3
wobɛnya,3
anadwo,3
yɛbɛkɔ,3
meka,3
eno,3
ɔmanfoɔ,3
ɛmfa,3
trenee,3
suro,3
wonya,3
wobɔ,3
ahwehwɛ,3
asuasua,3
nkunim,3
romafo,3
anokwafo,3
nsakraeɛ,3
mpaebɔ,3
wɔhia,3
hwɛɛ,3
ye,3
suani,3
atua,3
mfiri,3
pintinn,3
ɔhu,3
bɛkɔ,3
bɛsom,3
yɛbɛyi,3
haw,3
aban,3
mpaninfoɔ,3
yenya,3
kyɛ,3
mpempem,3
ɔsomafoɔ,3
ayɛmyɛ,3
nakyi,3
abɔfo,3
wɔmfa,3
yɛkɔ,3
filipo,3
nnyinasosɛm,3
nkaedi,3
afɔreɛ,3
he,3
yudafoɔ,3
galilea,3
ɛkɔ,3
reba,3
ɔmfa,3
bɛboro,3
mmu,3
ɔhyɛ,3
monne,3
sɛm,3
basaa,3
po,3
too,3
kye,3
nhwɛso,3
wuhu,3
atamfo,3
adesuasɛm,3
october,3
wowɔ,3
dɛ,3
yɛsuasua,3
odiyifoɔ,3
eyi,3
tie,3
nkorɔfoɔ,3
ɔtaa,3
wɔne,3
ɛnɛ,3
owu,3
yɛahu,3
ɔma,3
asetena,3
onim,3
fom,3
wonhu,3
yɛnyɛ,3
bisaa,3
akokoduru,3
ababaawa,3
nkɔmmɔ,3
yebesua,3
kɛkɛ,2
mate,2
ɔtumi,2
tɛ,2
enuonyam,2
ahoɔden,2
ɔman,2
yɛm,2
ankɔ,2
nne,2
ɔkasa,2
nkyekymu,2
fata,2
asɛ,2
nkyerɛ,2
yɛni,2
nsɔ,2
yɛtɔ,2
adansie,2
mufoɔ,2
dumiɛnsa,2
kinka,2
asafommɔpanyinfoɔ,2
tumfoɔ,2
ehu,2
dansefo,2
jephthah,2
abranteɛ,2
mmo,2
bɛso,2
tony,2
yesua,2
firii,2
ber,2
atwetwe,2
bɛtena,2
tirimpɔ,2
suesua,2
kɔkɔɔ,2
abufuo,2
wɔgyaa,2
mekɔɔ,2
apɛ,2
esua,2
ɛtwa,2
hwan,2
wɔpɛ,2
nokwafo,2
wɔtaa,2
ɔfaa,2
internet,2
ɛsiane,2
paradise,2
ntumi,2
akyekye,2
wɔnnyɛ,2
yɛre,2
suae,2
dawidi,2
yɛbɛsan,2
spain,2
yosef,2
jw,2
org,2
adansefo,2
dot,2
gideon,2
sodom,2
gomora,2
ɛtwam,2
akatua,2
ayɔnkofa,2
wosusuw,2
siiɛ,2
awie,2
ahummɔbɔ,2
yeremia,2
wobɛbɔ,2
asomfo,2
ɛhyɛ,2
poetzinger,2
ɔmmoa,2
awerɛhyɛmu,2
abisa,2
woabɔ,2
tirim,2
afa,2
korintofo,2
hintidua,2
bɛwu,2
nywie,2
nadwuma,2
meriba,2
yɛkenkan,2
ɛha,2
ohunu,2
asɔmfoɔ,2
mmɔborɔ,2
awerɛhyem,2
mebusɛm,2
fedi,2
joel,2
metwerɛ,2
ɛwɔm,2
yaw,2
ɛnkyɛ,2
kyerɛwsɛm,2
asɛdeɛ,2
n'ani,2
nhunu,2
yɛdi,2
yɛdɔ,2
betumi,2
afeha,2
baabiara,2
gyigye,2
ɔyere,2
wadi,2
ɛbɔ,2
mepɛ,2
saul,2
wɔdɔ,2
nnamfoɔ,2
yɛreka,2
yɛankasa,2
nkyerɛkyerɛmu,2
ɔyare,2
wɔtan,2
henok,2
rebɔ,2
dn,2
wama,2
ɔkɔɔ,2
amansin,2
ɛdidisoɔ,2
akoa,2
wobetumi,2
wɔaware,2
asomfoɔ,2
adiesua,2
onya,2
tɔ,2
bɛbi,2
yebehu,2
akɔsi,2
tiri,2
yɛnhyɛ,2
gu,2
yɛte,2
yehyia,2
bɛgye,2
owusɔre,2
apam,2
yiw,2
pɔ,2
dada,2
minya,2
amantam,2
yedi,2
anammɔn,2
mmerɔyɛ,2
mɛyɛ,2
asɛe,2
aduonan,2
wui,2
wɔatwerɛ,2
ɛbɛn,2
gyinaeɛ,2
ɔbɛware,2
ɔbɛdi,2
ɔfa,2
ɔ,2
akokoduro,2
ɛhu,2
nsi,2
yɛbɛhyɛ,2
wɔkɔ,2
akɔfa,2
ya,2
ɔbɛka,2
adam,2
bɔfo,2
genesis,2
akyɛdeɛ,2
wɔto,2
mmofra,2
hwammɔ,2
hyiaa,2
wu,2
wim,2
busua,2
dumiensa,2
asusu,2
wobu,2
nokwadie,2
ɔtwerɛ,2
nsem,2
ahummɔborɔ,2
ɔgye,2
wɔkyɛn,2
filipifo,2
yɛbu,2
mennya,2
wɔbɛkɔ,2
nsom,2
animuonyam,2
bɛfiri,2
sua,2
mehunu,2
nkrɔn,2
wɔbɛhwɛ,2
ɛkora,2
aduowɔtwe,2
hyehyɛɛ,2
bɛɛbi,2
wɔdii,2
nsuo,2
minim,2
valery,2
hwammɔedi,2
mmae,2
pɔso,2
kankan,2
makwan,2
ɛdeɛn,2
nkyerɛwee,2
teɛ,2
n'anim,2
nkɔsi,2
dabi,2
nokore,2
hwee,2
horow,2
yɛbɛhyia,2
awoɔ,2
ɛmma,2
awarefoɔ,2
yɛanyɛ,2
ɛbɛkyerɛ,2
koro,2
yɛdwene,2
ahotɔsɔ,2
yɛato,2
awoɔtoatoasoɔ,2
yɛbɛfa,2
atu,2
anamɔn,2
abotare,2
anigyeɛ,2
ɛmfata,2
abosom,2
ɛneɛ,2
ɛnneɛ,2
beresosɛm,2
onia,2
aduonsia,2
nteaseɛ,2
yɛsan,2
yɛbɛhu,2
wɔntumi,2
botae,2
ahannwɔtwe,2
ɔhyɛɛ,2
akwaaba,2
ntoma,2
fitaa,2
kwankyerɛ,2
twatwa,2
yɛnim,2
man,2
ato,2
n'adaemone,2
ɔbɛnya,2
adesuaseɛm,2
wɔsom,2
ɔdan,2
aso,2
suasua,2
ahohoyɛ,2
yii,2
kɔmaa,2
abrabɔ,2
anidasoɔ,2
ɔdii,2
arɛho,2
twam,2
awufo,2
mfimfini,2
kama,2
yɛfa,2
ɛbaa,2
amanehunu,2
nyinasosɛm,2
of,2
one,2
hundred,2
and,2
anibere,2
daniel,2
vanessa,2
dwumadie,2
yɛnnante,2
fɛfɛɛfɛ,2
madwene,2
sii,2
sintɔ,2
ahotosoɔ,2
hebrifo,2
mfataho,2
wɔdwene,2
ansom,2
nyini,2
kurom,2
asɛmpaka,2
yakob,2
wɔkenkan,2
dabiara,2
bɛ,2
nkɔ,2
gilead,2
atumfoɔ,2
nkom,2
mehu,2
aduokron,2
ɔpanin,2
asonfoɔ,2
akɔnnɔ,2
nimdeɛ,2
nnua,2
maria,2
wamfa,2
abu,2
yɛmpɛ,2
wɔmma,2
susu,2
johannes,2
asɛdie,2
paradeise,2
enam,2
hunuu,2
aduro,2
anuonyam,2
ɔmma,2
ɔnya,2
wɔyi,2
ɔkã,2
kolosefoɔ,2
persia,2
bɛsi,2
tottoo,2
bobe,2
kora,2
wɔbɛtumi,2
tebea,2
dwene,2
yɛkyerɛ,2
tiaa,2
tyw,2
yare,2
osuani,2
wokann,2
twa,2
yareɛ,2
nyamesom,2
yehoas,2
ebetumi,2
bɛto,2
nwotwe,2
abam,2
rekyerɛ,2
babarima,2
g,2
ɛdaadi,2
yɛfrɛ,2
wobɛbisa,2
akwan,2
atɛntrenee,2
yennim,2
asetenam,2
wuiɛ,2
may,2
toa,2
rehwɛ,2
mfie,2
ɔnam,2
didii,2
yɛbɛnya,2
beebi,2
atini,2
akasamu,2
mawofo,2
adie,2
yɛkyerɛkyerɛ,2
hyehye,2
emufoɔ,2
nnɔɔso,2
adesuadeɛ,2
asm,2
ɛtumi,2
wɔfiri,2
awo,2
mokenkan,2
mmirikatufuɔ,2
ɔbonsam,1
adaadaa,1
abesi,1
agyede,1
wɔateaseɛ,1
ntease,1
anigyesɛm,1
federico,1
wɔahye,1
wɔahyɛ,1
nkuranhye,1
aseda,1
pere,1
amanyɔsɛm,1
sesae,1
yɛtuko,1
millions,1
now,1
living,1
will,1
never,1
opempem,1
adiyism,1
duminynsa,1
yde,1
mewu,1
amamra,1
galatiafoɔ,1
ahɔhoɔ,1
ɛsɛe,1
break,1
adisɛm,1
ɛnhyɛ,1
yɛdwendwen,1
ɛhyia,1
ɔbɛbɔ,1
bɛyie,1
hyiaɛ,1
babaa,1
n'abrabɔ,1
basa,1
wapagya,1
fafiri,1
jose,1
suahunu,1
yɛnuanom,1
hunsuro,1
y,1
nkoa,1
snkyerne,1
wɔgyee,1
nkoasom,1
obimpofoɔ,1
adwenemu,1
wompere,1
gyinaesi,1
wobɛsi,1
korakora,1
apapafoɔ,1
wodi,1
wababa,1
hwereɛ,1
nnommrifoɔ,1
somaa,1
adɛnti,1
asɛnhwasɛm,1
ɛbom,1
enkanka,1
tententen,1
ɛgyina,1
ngodua,1
nkorabata,1
ɛhwue,1
ngo,1
dɔben,1
bɛkyerɛ,1
blue,1
ayaresabea,1
wieɛ,1
adamfofa,1
efeso,1
pefee,1
akyidini,1
ɛntoboa,1
yɛnsusu,1
paara,1
wɔresua,1
somfoɔ,1
yɛatwerɛfoɔ,1
mmrantie,1
fɔm,1
asɔhwɛ,1
wɔasan,1
wɔtwɛ,1
dunon,1
awarefo,1
agyanom,1
ebifii,1
amfi,1
sinai,1
natiefo,1
wɔbɛte,1
abɛn,1
tetɛ,1
homedi,1
nketenkete,1
yɛbom,1
mampene,1
medi,1
verilettu,1
finlandfoɔ,1
pancake,1
ɛberɛ,1
yɛbɛhunuu,1
bɛdan,1
nkyɛmu,1
esuade,1
mabo,1
titi,1
paae,1
sena,1
ode,1
ntasuo,1
yoeɛ,1
yɛkura,1
wɔtwerɛɛ,1
akɔsua,1
amanɔne,1
qixiang,1
taiwan,1
monna,1
nsu,1
kenso,1
nsuom,1
wɔaho,1
common,1
future,1
an,1
agenda,1
for,1
disarmament,1
wɔyɛe,1
intanɛt,1
www,1
slash,1
tw,1
asɔfoɔ,1
july,1
sɛee,1
nhomahodoɔ,1
dɔɔ,1
kɔbisa,1
wobɛhu,1
hwehwɛmu,1
nimdie,1
ntwam,1
wakyerɛ,1
apollos,1
ɛhyira,1
wɔbotoyɛ,1
ɔbaatankoro,1
ɔnte,1
willie,1
sisiiɛ,1
wɔnte,1
memfa,1
berenyinaa,1
akwampaedwuma,1
aben,1
mabɛyɛ,1
samuel,1
tamadan,1
aduo,1
kwaya,1
osu,1
ɔsrɛɛ,1
mmarasudie,1
ɔnyon,1
dumnwɔtwe,1
yɛanhwɛ,1
agyapadeɛ,1
dunkrɔn,1
wogyina,1
esubo,1
sɔre,1
odwen,1
martin,1
wareeɛ,1
nazifo,1
wosuro,1
bɛtan,1
srɛ,1
woanya,1
exodus,1
kɔpem,1
mpanyinfoɔ,1
biibi,1
dennen,1
mehwɛ,1
adekyɛde,1
yɛnhu,1
aniso,1
rafael,1
lalani,1
south,1
africa,1
yɛntum,1
yɛabɛm,1
wobɛka,1
mfɛfoɔ,1
boasetɔ,1
moayɛ,1
adim,1
aboro,1
ɛkyire,1
ɔham,1
nte,1
nsennenn,1
wɔhyiaaeɛ,1
arthur,1
willis,1
bill,1
newlands,1
baarima,1
n'ebinom,1
ɔnyiniiɛ,1
okyi,1
owofoɔ,1
kaeɛ,1
edom,1
babilon,1
wobɛhwɛ,1
nnamso,1
nnkyerɛ,1
wɔrehyɛ,1
wɔnni,1
sija,1
ɛntene,1
akron,1
ɔbɛsom,1
homeda,1
israelfo,1
tirinwi,1
wɔakanyi,1
bɛhyira,1
yɛbɛsusu,1
yɛahwɛ,1
bɛsiesie,1
galatifoɔ,1
twetiatwa,1
wɔbɛn,1
wɔkyerɛkyerɛ,1
yɛnsa,1
yadeɛ,1
bɛtɛ,1
amampanyin,1
yɛasɔ,1
yuda,1
asinfua,1
ɔsesaa,1
asɛmisa,1
twae,1
wɔasafo,1
kyekyere,1
asene,1
ɛbɛka,1
yɛtoa,1
kum,1
wɔbu,1
kumfɔ,1
ketewa,1
shɛma,1
akɔntuo,1
yɛnhyiam,1
mmɔdeɛ,1
ansɛ,1
nyamessum,1
tamfo,1
nisoɔ,1
ntia,1
adaka,1
asɛmasɛm,1
tetee,1
ɔdwene,1
bogu,1
ntrɛm,1
email,1
yɛnni,1
otie,1
nawofo,1
ɔrebu,1
efesofo,1
oyi,1
magye,1
wɔada,1
nkwagyeɛ,1
monnim,1
nnuma,1
mika,1
anante,1
yɛrepɛ,1
nkronnkron,1
asra,1
metee,1
tɛsɛ,1
ɔdwadeni,1
abohene,1
yɛmmerɛ,1
yɛnsakrae,1
mowɔ,1
nnwan,1
agyapayin,1
ɔbooboo,1
mapo,1
abusuafoɔ,1
wɔdaso,1
nnyi,1
mako,1
nhye,1
n'asɛdeɛ,1
adagye,1
ɔhw,1
ykɔ,1
ɔkase,1
kuma,1
honkwan,1
hyiraa,1
m'anom,1
ɛnsan,1
yɛpre,1
yɛadikan,1
wobɛfa,1
woanyankɔsoɔ,1
yɛhwehwɛ,1
wohyɛ,1
berɛnyina,1
dɔfo,1
awu,1
mpanyinfo,1
rekyekye,1
wɔreboa,1
wabrɛ,1
ɔtena,1
wanyɛ,1
dae,1
hɛn,1
mfee,1
dwendwene,1
yɛnipa,1
yɛnnka,1
ɔkyi,1
syeafo,1
ewo,1
malawi,1
ntroto,1
madwuma,1
metreaase,1
akanyan,1
kyer,1
monnyaye,1
modwene,1
mobdi,1
ireland,1
britain,1
united,1
states,1
atwerɛ,1
nkratatwerɛ,1
akyere,1
bɛnya,1
nasrafoɔ,1
tiee,1
yɛgyina,1
nsakyerae,1
sekan,1
m'adesrɛ,1
fiasie,1
irkutsk,1
russia,1
afie,1
eduanonnkron,1
wura,1
anania,1
w'adwene,1
niɛ,1
atetɛ,1
mmeranteɛ,1
sɛdeɛ,1
tenten,1
wɔdie,1
nnyinasoɔ,1
kodi,1
waduane,1
komapa,1
nene,1
yɛbɛhwe,1
n'atɛntrenee,1
ɔmmo,1
m'ayam,1
nadeshda,1
sofia,1
ayɔnkofam,1
edihɔ,1
ɛbetumi,1
ehwi,1
obuo,1
mpanyimfo,1
mnyɛ,1
ahyɛdeɛ,1
mpɛ,1
yɛtie,1
elifas,1
ɔkeka,1
totɔtotɔ,1
nakɔnnɔ,1
retwam,1
ɛgu,1
kachɛ,1
ontie,1
amanaman,1
nsɛmmisa,1
bɛsua,1
aduɔkron,1
keka,1
ntoboaseɛ,1
twɛn,1
wobɛdu,1
botaeɛ,1
nwomawa,1
krado,1
ɔbɛboa,1
frɛfrɛ,1
onni,1
ɔboafoɔ,1
ɔfata,1
komm,1
delila,1
ɔdi,1
filistini,1
wɔbɛnya,1
awɔfoɔ,1
ahwɛ,1
wasra,1
atwerɛsɛm,1
wɔsra,1
wɔnnom,1
twerɛe,1
atirim,1
atuatew,1
ɛntumi,1
mepawkyɛw,1
mesrɛ,1
atɛmmufo,1
dununson,1
dununwɔtwe,1
bɛpɛ,1
woeyi,1
wakwan,1
fekubɔ,1
american,1
mum,1
kasamu,1
atwerɛfoɔ,1
anyɛntumi,1
ansee,1
hwe,1
nnyama,1
yee,1
oreye,1
yɛyere,1
ɔkyekye,1
ankorankora,1
ɔdwomtofoɔ,1
atemmuo,1
m'adeɛ,1
asompɔfoɔ,1
wowatwen,1
odiyifo,1
yedie,1
behyira,1
yɛawie,1
asɛmhua,1
awɔ,1
okunu,1
nwankwan,1
nkrɔfoɔ,1
amansan,1
shallum,1
wɔboaa,1
ɔmiaa,1
abanmɔ,1
usia,1
games,1
nakwan,1
dɛdamu,1
akwantuofoɔ,1
faso,1
akyirikyiri,1
wɔbra,1
leviticus,1
wodwen,1
yɛkɔɔ,1
ɛnanso,1
lasaro,1
mɛbaeɛ,1
adan,1
ɛrekɔsoro,1
kɔeakyiri,1
wɔgu,1
wanim,1
mpɔtam,1
wasi,1
sugia,1
aguo,1
asuo,1
totoɔ,1
ɔsrɛni,1
ɔhyiraa,1
ahotɔsɔɔ,1
wobɛtie,1
wɔduu,1
wɔnnye,1
wɔbisae,1
mihunu,1
yɛwaree,1
ahennywa,1
ontumi,1
dan,1
ɛbɛha,1
ahyehyɛdeɛ,1
nkyɛkyɛm,1
yebedi,1
yɛbɛda,1
yɛbɛgye,1
ahoadwenne,1
memfata,1
wofrɛ,1
luke,1
dunu,1
wohia,1
bɛfa,1
wɔadwimi,1
sɛɛ,1
akomato,1
wobɛbua,1
yɛasubɔ,1
ɛnam,1
onyaa,1
akokoɔduro,1
nsumo,1
nagya,1
oh,1
eddie,1
wɔpaw,1
nananmu,1
nnipakuo,1
dwirii,1
mehwɛɛ,1
manim,1
meyere,1
tee,1
ɔankɔ,1
ɛmmu,1
mebɛtena,1
danseni,1
children,1
rutherford,1
yɛnyaa,1
n'asomfoɔ,1
kyerɛw,1
mabusua,1
ntɔatoasoɔ,1
tutu,1
nasɛm,1
wiara,1
daae,1
ansɔre,1
nnomaa,1
guɔ,1
ɔbotan,1
ɛfifii,1
ɛwue,1
sɛnsu,1
ɛteɛ,1
wɔnya,1
nron,1
ɔbea,1
kwasea,1
n'atie,1
afutu,1
ntadehyɛ,1
ahoosiesie,1
ɔbɛbom,1
papaapa,1
ɔntwe,1
n'asɔmfo,1
tenenee,1
ɔbaapa,1
ɔboaa,1
ahwɛsoɔ,1
yetumi,1
teokrasi,1
skuul,1
adidi,1
woasua,1
mebusem,1
fɛm,1
ɔkye,1
ɔfi,1
wɔapue,1
sɔreɛ,1
ɛchiadeɛ,1
adɛntia,1
ɔdwenywen,1
nkyia,1
wɔa,1
mɛware,1
enso,1
rosa,1
amfa,1
ansi,1
atena,1
atorɔsom,1
corintofoɔ,1
yn,1
adwenem,1
ay,1
wɔnnu,1
mminsa,1
abom,1
fapɔn,1
abiesa,1
wɔakɔ,1
ahokyerɛ,1
yɛfi,1
dwenne,1
wɔboa,1
nkyene,1
nnfa,1
nnkame,1
onyansafufo,1
ɔbɛkɔ,1
ɔbɛtu,1
yɛadi,1
bɛyɛɛ,1
ebubuu,1
wahab,1
akora,1
yɛnnya,1
abusuafo,1
nyae,1
asuafoɔ,1
ayere,1
abotɔyɛ,1
amaba,1
worekyerɛkyerɛ,1
w'atiefoɔ,1
wohwehwɛ,1
akasafoɔ,1
bɛtintim,1
eighteen,1
concord,1
street,1
brooklyn,1
mentwɛn,1
ankɔnamyɛ,1
ɔbaabunu,1
kirsten,1
yɛbɛbata,1
yɛabu,1
animtiaa,1
ammɔ,1
yɛntena,1
mframa,1
ɛpɛ,1
yɛhyia,1
ohaw,1
asietim,1
beberee,1
yɛyɛɛ,1
toru,1
awotwa,1
ɔdwen,1
mɛfa,1
mɔtohɔ,1
abaayewa,1
yɛresusu,1
etumi,1
watchtower,1
wɔase,1
suahodoɔ,1
ntɛ,1
wɔtu,1
wɔnom,1
cigarette,1
kakasɛ,1
fe,1
ɔyɛe,1
ɔnokwafoɔ,1
atorodi,1
makɔyɛ,1
